<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
GAZP D 20160328 000000 146.5400000 147.5000000 144.6000000 145.1000000 13115750
GAZP D 20160329 000000 144.7800000 145.1600000 142.8600000 144.7000000 24645590
GAZP D 20160330 000000 145.2200000 149.0900000 144.5200000 147.8000000 34338150
GAZP D 20160331 000000 147.5000000 148.1700000 146.0500000 147.7500000 34995930
GAZP D 20160401 000000 147.0200000 147.5000000 143.9300000 147.2000000 36477020
GAZP D 20160404 000000 147.1000000 147.5000000 145.3500000 146.3800000 28749230
GAZP D 20160405 000000 145.3500000 145.3500000 143.5700000 144.3400000 23195340
GAZP D 20160406 000000 144.8700000 145.5000000 144.0300000 144.2000000 24061380
GAZP D 20160407 000000 144.9500000 145.5000000 143.0500000 143.8900000 21751740
GAZP D 20160408 000000 144.2200000 146.0000000 144.1000000 145.7000000 23586850
GAZP D 20160411 000000 145.7000000 147.5000000 145.1000000 147.3000000 32124260
GAZP D 20160412 000000 147.3300000 149.3500000 146.0400000 148.9000000 37591280
GAZP D 20160413 000000 149.1000000 154.7500000 148.8800000 153.1200000 59195220
GAZP D 20160414 000000 153.3800000 154.9000000 149.1600000 150.4300000 50061290
GAZP D 20160415 000000 150.6900000 150.7100000 147.0200000 147.9900000 29363710
GAZP D 20160418 000000 145.9900000 146.7700000 143.2800000 146.3000000 41759810
GAZP D 20160419 000000 146.4500000 156.1400000 146.2000000 155.9500000 105746850
GAZP D 20160420 000000 155.8800000 162.3000000 155.8200000 161.9500000 97272780
GAZP D 20160421 000000 164.7000000 164.7600000 157.6100000 161.8000000 64442400
GAZP D 20160422 000000 162.1400000 162.4500000 158.2500000 161.2000000 35774040
GAZP D 20160425 000000 160.7100000 161.7500000 158.6100000 160.3000000 32028370
GAZP D 20160426 000000 159.8200000 163.3200000 159.3100000 163.0000000 34846010
GAZP D 20160427 000000 163.8800000 164.8000000 159.3000000 160.9900000 39121710
